[2022-02-08 17:46:26,281] {gcs.py:264} INFO - Object raw/yellow_tripdata_2019-12.parquet in bucket dtc_data_lake_rational-aria-338717 rewritten to object yellow/yellow_tripdata_*.parquet2019-12.parquet in bucket dtc_data_lake_rational-aria-338717
[2022-02-08 17:46:26,361] {gcs.py:645} INFO - Blob raw/yellow_tripdata_2019-12.parquet deleted.
[2022-02-08 17:46:26,362] {gcs_to_gcs.py:431} INFO - Executing copy of gs://dtc_data_lake_rational-aria-338717/raw/yellow_tripdata_2020-06.parquet to gs://dtc_data_lake_rational-aria-338717/yellow/yellow_tripdata_*.parquet2020-06.parquet
[2022-02-08 17:46:26,475] {gcs.py:251} INFO - Total Bytes: 11323874 | Bytes Written: 11323874
[2022-02-08 17:46:26,477] {gcs.py:264} INFO - Object raw/yellow_tripdata_2020-06.parquet in bucket dtc_data_lake_rational-aria-338717 rewritten to object yellow/yellow_tripdata_*.parquet2020-06.parquet in bucket dtc_data_lake_rational-aria-338717
[2022-02-08 17:46:26,538] {gcs.py:645} INFO - Blob raw/yellow_tripdata_2020-06.parquet deleted.
[2022-02-08 17:46:26,540] {gcs_to_gcs.py:431} INFO - Executing copy of gs://dtc_data_lake_rational-aria-338717/raw/yellow_tripdata_2020-10.parquet to gs://dtc_data_lake_rational-aria-338717/yellow/yellow_tripdata_*.parquet2020-10.parquet
[2022-02-08 17:46:26,651] {gcs.py:251} INFO - Total Bytes: 31572830 | Bytes Written: 31572830
[2022-02-08 17:46:26,652] {gcs.py:264} INFO - Object raw/yellow_tripdata_2020-10.parquet in bucket dtc_data_lake_rational-aria-338717 rewritten to object yellow/yellow_tripdata_*.parquet2020-10.parquet in bucket dtc_data_lake_rational-aria-338717
[2022-02-08 17:46:26,716] {gcs.py:645} INFO - Blob raw/yellow_tripdata_2020-10.parquet deleted.
[2022-02-08 17:46:26,717] {gcs_to_gcs.py:431} INFO - Executing copy of gs://dtc_data_lake_rational-aria-338717/raw/yellow_tripdata_2020-07.parquet to gs://dtc_data_lake_rational-aria-338717/yellow/yellow_tripdata_*.parquet2020-07.parquet
[2022-02-08 17:46:26,844] {gcs.py:251} INFO - Total Bytes: 15762125 | Bytes Written: 15762125
[2022-02-08 17:46:26,845] {gcs.py:264} INFO - Object raw/yellow_tripdata_2020-07.parquet in bucket dtc_data_lake_rational-aria-338717 rewritten to object yellow/yellow_tripdata_*.parquet2020-07.parquet in bucket dtc_data_lake_rational-aria-338717
[2022-02-08 17:46:26,913] {gcs.py:645} INFO - Blob raw/yellow_tripdata_2020-07.parquet deleted.
[2022-02-08 17:46:26,915] {gcs_to_gcs.py:431} INFO - Executing copy of gs://dtc_data_lake_rational-aria-338717/raw/yellow_tripdata_2019-08.parquet to gs://dtc_data_lake_rational-aria-338717/yellow/yellow_tripdata_*.parquet2019-08.parquet
[2022-02-08 17:46:27,051] {gcs.py:251} INFO - Total Bytes: 111332831 | Bytes Written: 111332831
